用户ID,年龄,性别,历史订单数量,购买频率,平均消费金额,优惠券使用,配送距离,是否购买,购买金额,购买等级
43127,45,男,14,5,38.38,0,3.87,0,0,未购买
43128,46,男,28,9,63.17,1,2.23,1,552.4,高
43129,28,男,20,10,39.31,0,3.45,1,407.61,中
43130,24,女,20,9,63.83,0,3.04,0,0,未购买
43131,32,女,11,6,65.6,0,1.51,0,0,未购买
43132,38,女,20,8,41.75,0,2.14,0,0,未购买
43133,33,男,13,6,25.47,0,2.54,0,0,未购买
43134,18,女,22,9,65.24,1,3.06,1,620.72,高
43135,18,男,19,6,70.53,0,2.16,0,0,未购买
43136,33,男,22,8,45.08,0,3.21,0,0,未购买
43137,44,男,15,3,42.35,1,2.66,0,0,未购买
43138,26,女,19,8,65.44,1,1.37,0,0,未购买
43139,42,男,9,13,51.91,1,2.95,1,607.58,高
43140,20,男,20,5,35.06,0,2.58,0,0,未购买
43141,38,女,17,3,26.71,0,3.84,0,0,未购买
43142,38,女,15,1,46.78,0,1.83,0,0,未购买
43143,40,女,18,5,51.66,0,2.9,0,0,未购买
43144,25,男,14,10,32.41,1,1.93,1,289.31,中
43145,20,女,14,5,81.14,0,6.03,0,0,未购买
43146,42,男,16,4,52.45,0,7.35,0,0,未购买
43147,20,男,15,6,53.48,1,3.04,0,0,未购买
43148,27,女,16,5,48.4,0,0.73,0,0,未购买
43149,49,男,14,6,32.95,0,1.46,1,184.61,低
43150,37,男,13,7,30.9,1,3.22,0,0,未购买
43151,39,男,16,8,35.85,0,1.83,1,282.54,低
43152,41,女,11,9,41.79,0,2.92,0,0,未购买
43153,41,女,17,4,32.95,1,1.38,0,0,未购买
43154,35,女,16,3,45.27,1,2.15,0,0,未购买
43155,26,男,21,6,55.63,1,4.05,0,0,未购买
43156,62,女,16,13,56.87,1,2.79,0,0,未购买
43157,32,男,16,8,45.77,0,2.77,0,0,未购买
43158,38,女,20,9,30.55,1,2.14,0,0,未购买
43159,39,女,21,4,51.45,0,7.72,0,0,未购买
43160,30,男,12,7,47.33,0,3.69,0,0,未购买
43161,31,男,19,8,44.72,1,5.09,1,383.2,中
43162,50,女,18,4,54.44,1,2.24,0,0,未购买
43163,28,女,17,5,25.19,0,2.78,0,0,未购买
43164,39,女,18,5,60.87,0,5.85,1,305.69,中
43165,44,女,20,10,66.49,1,5.37,1,581.71,高
43166,33,男,15,4,52.33,1,2.44,1,216.05,低
43167,34,男,26,4,15,1,3.13,0,0,未购买
43168,45,女,13,6,61.52,1,3.31,0,0,未购买
43169,34,男,19,10,36.52,0,2.15,0,0,未购买
43170,18,女,14,5,59.66,0,1.99,0,0,未购买
43171,50,男,21,6,36.01,0,4.38,1,199.01,低
43172,25,男,15,3,49.14,0,4.9,0,0,未购买
43173,37,男,12,7,29.55,1,1.59,0,0,未购买
43174,22,女,28,8,30.87,1,2.09,0,0,未购买
43175,30,男,16,4,65.15,0,4.9,0,0,未购买
43176,31,男,11,7,58.57,1,1.91,1,532.16,高
43177,37,女,13,5,39.52,0,0.74,0,0,未购买
43178,26,男,14,6,39.5,0,4.4,0,0,未购买
43179,55,女,14,7,56.08,1,2.8,0,0,未购买
43180,35,男,18,7,41.71,0,1.43,0,0,未购买
43181,44,男,16,7,47.57,1,2.11,1,354.89,中
43182,35,男,11,7,33.86,1,1.67,0,0,未购买
43183,45,女,24,8,46.3,1,2.76,0,0,未购买
43184,18,女,21,7,50.45,0,1.16,1,386.82,中
43185,28,男,12,5,50.66,0,3.07,0,0,未购买
43186,30,男,14,5,90.62,1,4.24,0,0,未购买
43187,30,男,18,6,15,0,2.61,1,93.4,低
43188,40,男,15,4,58.82,0,3.58,0,0,未购买
43189,41,女,16,5,45.53,0,5.1,0,0,未购买
43190,34,男,18,6,23.41,0,1.82,0,0,未购买
43191,35,女,20,12,85.46,1,2.35,1,1064.26,高
43192,59,男,19,11,47.22,0,2.09,0,0,未购买
43193,38,女,18,7,20.82,0,2.34,1,171.7,低
43194,18,女,17,7,70.69,0,1.49,1,532.75,高
43195,43,女,15,13,64.77,0,1.69,1,777.83,高
43196,41,女,17,9,57.84,0,3,0,0,未购买
43197,47,男,16,5,27.32,0,4.07,0,0,未购买
43198,41,男,15,6,35.3,0,3.69,0,0,未购买
43199,26,女,11,7,52.88,1,2.86,0,0,未购买
43200,44,男,19,10,57.28,0,2.62,0,0,未购买
43201,36,女,26,10,39.92,0,4.23,1,457.95,高
43202,45,男,11,5,61.22,0,2.2,0,0,未购买
43203,50,女,14,9,72.71,0,3.71,0,0,未购买
43204,34,男,12,6,25.34,1,4.9,0,0,未购买
43205,44,女,14,8,47.03,0,1.42,0,0,未购买
43206,45,女,19,1,55.85,0,1.13,0,0,未购买
43207,37,女,18,9,46.29,0,1.88,0,0,未购买
43208,55,男,12,5,30.95,,3.31,0,0,未购买
43209,45,男,19,8,68.66,1,,1,581.57,高
43210,29,男,21,4,55.05,1,3.17,1,211.9,低
43211,38,男,23,8,41.78,0,3.2,0,0,未购买
43212,44,男,26,11,79.27,1,6.48,0,0,未购买
43213,54,男,25,8,56.97,0,3.34,0,0,未购买
43214,41,女,16,14,57,0,5.11,1,816.14,高
43215,38,男,17,6,22.09,1,4.95,0,0,未购买
43216,48,女,16,8,58.1,0,2.31,0,0,未购买
43217,33,男,18,8,43.81,1,2.7,1,377.09,中
43218,25,男,12,8,44.37,1,1.72,0,0,未购买
43219,42,男,15,3,22.12,1,0.93,0,0,未购买
43220,31,女,25,4,58.44,1,6.74,0,0,未购买
43221,62,女,9,7,59.68,0,4.84,0,0,未购买
43222,38,女,19,9,59.85,0,5.23,0,0,未购买
43223,42,女,21,6,79.6,0,1.33,1,442.34,高
43224,29,女,18,6,50.05,1,1.38,0,0,未购买
43225,48,男,15,7,51.79,0,2.43,0,0,未购买
43226,35,男,21,10,63.87,1,3.71,0,0,未购买
43227,34,女,16,3,53.97,1,3.25,1,155.28,低
43228,34,男,16,8,60.9,0,3.92,0,0,未购买
43229,22,女,18,7,61.86,0,3.48,0,0,未购买
43230,32,男,19,4,34.5,0,6.66,0,0,未购买
43231,40,女,15,7,40.72,0,6.33,0,0,未购买
43232,20,女,20,7,48.87,0,1.73,0,0,未购买
43233,45,女,15,6,73.03,0,4.04,0,0,未购买
43234,32,女,27,6,57.6,0,3.83,0,0,未购买
43235,37,男,25,6,32.75,1,2.31,1,217.94,低
43236,18,男,22,9,67.87,0,4.88,0,0,未购买
43237,37,女,18,8,64.71,1,1.49,1,498.34,高
43238,25,女,19,6,52.66,0,2.75,0,0,未购买
43239,31,男,16,9,54.75,0,2.24,0,0,未购买
43240,19,男,14,8,53.16,0,3.57,0,0,未购买
43241,26,女,18,7,51.29,1,2.42,0,0,未购买
43242,33,女,19,13,67.17,0,1.89,0,0,未购买
43243,32,女,25,6,41.22,0,1.7,1,215.69,低
43244,44,女,14,9,25.2,0,8.55,0,0,未购买
43245,18,男,15,7,54.17,0,2.84,0,0,未购买
43246,34,女,22,10,53.35,0,5.45,0,0,未购买
43247,34,男,20,8,49.67,1,3.05,1,425.2,中
43248,30,女,18,4,61.53,1,2.16,0,0,未购买
43249,26,女,21,5,29.32,0,2.09,0,0,未购买
43250,46,女,15,6,67.6,0,2.74,0,0,未购买
43251,55,男,26,6,53.76,0,1.24,1,330.18,中
43252,18,女,20,8,33.02,1,2.42,0,0,未购买
43253,26,男,23,8,34.05,0,3.48,0,0,未购买
43254,25,女,27,10,31.45,0,3.2,0,0,未购买
43255,32,男,23,6,55.63,0,5.68,0,0,未购买
43256,48,女,14,10,48.31,0,3.71,0,0,未购买
43257,40,男,25,3,83.82,1,,0,0,未购买
43258,33,男,17,8,56.66,1,2.61,0,0,未购买
43259,35,男,20,7,46.2,0,1.74,0,0,未购买
43260,32,女,10,10,15,0,1.54,1,149.91,低
43261,42,女,16,5,51.18,0,1.77,1,264.94,低
43262,44,男,18,4,41.28,1,,0,0,未购买
43263,41,女,15,7,95.45,0,1.24,1,731.85,高
43264,18,女,17,8,47.39,1,3.14,0,0,未购买
43265,35,男,23,9,67.58,1,1.77,1,644.28,高
43266,33,女,20,9,58.85,1,4.08,1,527.11,高
43267,45,女,6,10,36.98,1,3.16,0,0,未购买
43268,37,女,21,7,34.4,1,2.74,0,0,未购买
43269,41,男,15,10,45.91,0,1.92,0,0,未购买
43270,30,男,17,6,33.26,1,2.69,1,190.36,低
43271,44,男,17,9,35.19,0,1.86,0,0,未购买
43272,47,男,17,7,52.24,1,2.29,0,0,未购买
43273,19,男,25,7,21.64,0,2.54,0,0,未购买
43274,22,男,13,4,43.16,0,1.26,1,161.1,低
43275,43,女,17,6,49.18,0,1.91,0,0,未购买
43276,33,男,21,6,68.2,1,3.74,0,0,未购买
43277,45,女,20,6,25.01,0,2.5,1,139.28,低
43278,37,女,16,1,66.02,0,5.28,0,0,未购买
43279,42,男,22,9,36.2,1,2.52,0,0,未购买
43280,28,男,16,6,42.73,0,2.77,1,301.53,中
43281,38,女,19,4,47.03,0,3.53,0,0,未购买
43282,38,女,18,6,46.47,0,1.74,1,256.17,低
43283,28,男,23,10,55.62,1,5.04,0,0,未购买
43284,45,男,22,3,59.31,0,3.15,0,0,未购买
43285,18,女,21,9,45.88,0,2.09,0,0,未购买
43286,37,男,16,7,46.48,1,2.75,1,389.55,中
43287,22,女,21,6,33.98,0,,1,233.93,低
43288,25,男,12,11,50.04,1,2.9,1,543.85,高
43289,45,女,17,12,46.57,1,6.56,0,0,未购买
43290,24,女,16,8,54.32,0,2.24,1,431.37,中
43291,,女,16,6,56.62,0,1.64,1,335.42,中
43292,41,男,24,5,79.12,0,3.11,0,0,未购买
43293,24,男,17,7,48.69,1,3.83,0,0,未购买
43294,45,女,21,7,52.55,1,2.16,0,0,未购买
43295,41,女,9,8,22.02,1,3.24,0,0,未购买
43296,27,男,10,3,37.88,1,2.61,0,0,未购买
43297,45,女,18,3,57.67,0,3.48,0,0,未购买
43298,18,男,20,5,51.41,0,,0,0,未购买
43299,40,女,24,9,46.39,1,4.78,0,0,未购买
43300,23,女,20,4,47.9,0,1.41,1,199.82,低
43301,30,女,16,6,55.57,1,3.59,0,0,未购买
43302,30,男,18,3,64.07,0,1.82,0,0,未购买
43303,48,男,15,13,63.41,1,3.03,1,854.08,高
43304,30,女,23,7,49.08,0,3,0,0,未购买
43305,34,男,14,10,45.18,0,1.06,0,0,未购买
43306,31,男,16,7,42.9,1,4.57,0,0,未购买
43307,25,女,13,9,43.62,0,5.23,1,468,高
43308,25,男,25,10,64.08,0,2.81,0,0,未购买
43309,38,女,26,4,45.4,0,5.89,0,0,未购买
43310,35,女,21,6,27.31,0,2.97,1,157.1,低
43311,43,男,17,4,52.9,1,3.97,1,207.72,低
43312,33,女,21,7,70.53,0,1.15,0,0,未购买
43313,33,男,15,6,38.97,0,4.49,0,0,未购买
43314,43,女,19,7,34.33,0,2.39,0,0,未购买
43315,31,男,16,4,51.28,0,4.39,0,0,未购买
43316,21,男,18,10,63.85,1,4.39,1,721.34,高
43317,43,男,16,6,58.58,0,3.51,1,331.08,中
43318,28,女,22,5,58.65,0,3.21,1,323.93,中
43319,36,女,22,6,69.73,0,4.64,0,0,未购买
43320,29,女,22,6,18.33,0,2.71,0,0,未购买
43321,25,女,16,9,58.47,,3.06,1,631.32,高
43322,18,男,23,4,62.75,0,1.5,0,0,未购买
43323,38,女,18,14,53.08,0,2.34,0,0,未购买
43324,18,男,13,6,40.82,0,5.56,0,0,未购买
43325,48,女,23,5,72.93,0,1.63,0,0,未购买
43326,45,女,17,7,15.65,0,9.19,0,0,未购买
43327,26,男,20,16,56.41,0,2.34,0,0,未购买
43328,51,女,18,4,58.27,0,3.87,0,0,未购买
43329,56,男,22,6,82.13,0,2.95,1,520.76,高
43330,32,女,13,8,63.91,0,2.32,0,0,未购买
43331,39,男,17,7,56.85,0,1.75,0,0,未购买
43332,36,女,23,3,50.07,0,4.51,0,0,未购买
43333,50,女,19,8,33.43,1,1.3,0,0,未购买
43334,21,男,18,7,69.13,0,4.58,0,0,未购买
43335,33,女,11,6,26.76,0,1.68,0,0,未购买
43336,44,女,20,6,35.42,1,3.08,1,187.34,低
43337,43,男,19,4,61.09,0,1.51,0,0,未购买
43338,35,男,10,7,31.24,1,4.64,1,220.54,低
43339,49,男,22,6,65.97,1,4.31,1,352.41,中
43340,37,男,26,7,23.45,1,2.6,1,167.64,低
43341,36,女,17,10,54.91,1,2.37,1,613.57,高
43342,42,女,22,9,32.44,0,2.59,0,0,未购买
43343,34,男,14,5,35.46,0,3.35,1,134.84,低
43344,36,男,23,6,41.74,0,2.21,1,235.89,低
43345,27,女,17,6,66.87,0,2.78,0,0,未购买
43346,64,男,20,5,56.2,1,2.34,1,263.91,低
43347,30,男,18,9,55.45,0,4.76,0,0,未购买
43348,42,女,13,7,52.25,1,3.01,0,0,未购买
43349,54,女,17,9,46.5,1,1.31,0,0,未购买
43350,22,女,17,4,57.19,0,3.04,0,0,未购买
43351,41,女,27,5,74.72,1,5.39,1,378.36,中
43352,35,女,21,8,82.29,0,3.44,1,732.35,高
43353,53,女,16,6,48.12,0,2.9,0,0,未购买
43354,26,女,18,2,45.31,0,8.56,0,0,未购买
43355,27,男,17,3,24.92,0,1.92,1,75.35,低
43356,35,男,11,6,51.76,0,1.86,0,0,未购买
43357,30,男,18,9,44.34,0,2.06,0,0,未购买
43358,30,男,22,5,74.89,1,2.65,1,382.7,中
43359,55,男,17,6,49.64,0,1.89,0,0,未购买
43360,36,女,23,3,43.14,0,1.61,0,0,未购买
43361,27,男,12,5,68.65,1,4.83,1,320.18,中
43362,31,女,18,10,69.55,0,2.76,0,0,未购买
43363,39,女,15,2,64.91,0,2.96,1,121.39,低
43364,38,女,18,7,82.38,0,3.28,0,0,未购买
43365,,女,23,11,52.33,0,1.55,0,0,未购买
43366,19,男,14,5,36.97,0,4.22,0,0,未购买
43367,34,男,12,6,55.55,1,1.76,0,0,未购买
43368,34,男,25,6,41.59,0,6.48,0,0,未购买
43369,29,女,17,6,28.98,0,4.87,0,0,未购买
43370,48,男,26,6,30.29,1,1.54,0,0,未购买
43371,41,男,14,10,50,0,1.75,0,0,未购买
43372,36,女,21,5,34.88,0,2.88,0,0,未购买
43373,31,女,30,7,72.51,0,3.18,0,0,未购买
43374,52,男,16,6,56.44,1,1.55,0,0,未购买
43375,23,男,20,6,44.45,1,4.83,0,0,未购买
43376,30,男,17,11,59.15,0,7.68,0,0,未购买
43377,30,男,15,3,52.26,0,1.9,0,0,未购买
43378,38,女,14,9,48.93,0,,0,0,未购买
43379,42,男,23,11,78.92,0,2.37,1,823.71,高
43380,22,男,10,9,42.31,1,2.13,0,0,未购买
43381,28,男,23,5,62.63,0,3,1,299.21,中
43382,39,女,12,8,69.07,1,2.07,1,570.35,高
43383,28,男,14,7,61.35,0,2.04,0,0,未购买
43384,31,男,12,5,66.86,1,1.4,0,0,未购买
43385,37,男,20,12,49.66,1,1.04,1,613.26,高
43386,25,女,26,6,58.35,1,3.28,0,0,未购买
43387,38,男,18,7,50.54,1,1.75,1,376.71,中
43388,41,男,20,6,56.03,0,2.42,1,319.23,中
43389,35,男,26,7,38.34,0,2.94,0,0,未购买
43390,49,男,14,4,48.37,0,9.79,0,0,未购买
43391,42,女,22,6,22.08,1,4.09,1,136.92,低
43392,35,女,21,9,57,1,5.03,0,0,未购买
43393,32,女,14,7,46.36,0,0.92,1,329.14,中
43394,53,男,17,5,71.23,0,3.3,0,0,未购买
43395,28,男,17,6,72.89,1,3.24,1,369.92,中
43396,32,男,23,13,43.21,1,1.51,1,472.55,高
43397,31,男,8,5,40.64,1,3.28,1,187.41,低
43398,39,女,17,9,35.83,0,1.27,0,0,未购买
43399,58,男,11,4,87.18,,6.37,0,0,未购买
43400,37,男,18,6,54.18,1,3.73,1,285.74,中
43401,32,女,21,5,62.25,0,2.21,0,0,未购买
43402,37,女,20,10,46.92,1,1.75,1,547.25,高
43403,22,男,19,5,69.36,0,3.89,0,0,未购买
43404,33,男,21,11,69.01,0,2.15,1,733.89,高
43405,52,女,23,6,28.32,0,2.34,0,0,未购买
43406,42,女,21,8,27.13,1,3.76,0,0,未购买
43407,47,女,11,8,43.43,0,8.11,0,0,未购买
43408,45,男,18,4,29.83,1,2.73,0,0,未购买
43409,28,女,16,5,54.82,1,2.47,0,0,未购买
43410,54,男,15,4,57.8,0,1.66,0,0,未购买
43411,18,男,19,4,36.65,0,2.11,0,0,未购买
43412,38,男,18,4,39.88,0,4.51,0,0,未购买
43413,18,男,23,7,28.31,0,2.21,0,0,未购买
43414,18,女,19,14,55.22,0,2.73,0,0,未购买
43415,44,男,16,6,38.23,0,3.47,0,0,未购买
43416,28,女,11,14,55.5,1,2.4,0,0,未购买
43417,47,女,17,10,43.86,0,1.96,0,0,未购买
43418,18,男,13,8,26.6,1,1.91,1,213.31,低
43419,34,男,13,6,58.16,1,1.9,0,0,未购买
43420,23,女,12,8,37.66,0,4.11,0,0,未购买
43421,32,男,16,7,51.14,1,2.45,1,364.92,中
43422,50,女,16,2,59.93,0,1.72,1,130.26,低
43423,53,女,12,5,43.76,0,4.5,1,193.72,低
43424,40,女,19,6,55.63,1,2.33,1,328.31,中
43425,19,女,8,5,59.32,1,3.69,0,0,未购买
43426,23,男,13,4,31.35,1,2.91,1,142.54,低
43427,37,女,18,11,53.37,0,4.17,0,0,未购买
43428,27,女,16,9,60.72,0,1.65,1,487.22,高
43429,42,女,30,5,59.44,1,3.8,0,0,未购买
43430,52,男,29,6,33.63,1,8.84,0,0,未购买
43431,25,男,21,6,17.2,1,2.72,0,0,未购买
43432,26,男,17,10,48.58,1,3.24,1,487.07,高
43433,23,男,14,7,23,1,,0,0,未购买
43434,32,男,17,9,38.71,0,2.63,0,0,未购买
43435,36,女,16,13,48.02,1,2.63,1,673.33,高
43436,35,男,21,8,54.12,1,2.12,0,0,未购买
43437,44,女,19,9,47.92,1,5.26,1,387.56,中
43438,39,女,20,5,53.04,0,4.14,0,0,未购买
43439,34,男,15,5,38.58,0,1.67,0,0,未购买
43440,35,男,15,9,74.13,0,2.81,0,0,未购买
43441,36,女,18,7,46.93,1,2.35,1,290.08,中
43442,34,男,24,8,40.01,1,1.44,1,322.78,中
43443,28,男,30,7,44.81,0,1.38,0,0,未购买
43444,23,女,23,7,35.65,0,4.03,0,0,未购买
43445,36,男,16,14,46.61,1,4.1,0,0,未购买
43446,30,男,13,8,27.99,0,1.35,0,0,未购买
43447,40,女,18,12,45.42,0,5.23,0,0,未购买
43448,36,男,26,5,32.45,1,4.27,0,0,未购买
43449,35,男,20,8,47.82,1,2.07,0,0,未购买
43450,45,女,13,4,40.36,1,2.47,0,0,未购买
43451,21,男,19,8,57.12,1,1.65,0,0,未购买
43452,53,女,22,9,78.37,0,2.43,1,722.64,高
43453,18,女,18,11,22.03,1,1.95,0,0,未购买
43454,50,男,16,6,68.14,0,7.78,0,0,未购买
43455,37,男,18,5,52.41,1,3.82,1,308.39,中
43456,30,女,28,4,65.26,0,3.64,1,261.77,低
43457,20,男,11,9,66.59,0,1.61,0,0,未购买
43458,29,男,24,6,51.59,0,3.25,0,0,未购买
43459,33,男,14,5,56.52,0,2.39,0,0,未购买
43460,37,女,28,6,58.03,0,3.58,0,0,未购买
43461,49,男,23,5,64.38,0,2.54,0,0,未购买
43462,36,女,19,6,54.56,1,4.76,0,0,未购买
43463,38,男,21,11,58.51,0,2.77,0,0,未购买
43464,39,男,18,8,72.78,1,4.49,1,578.5,高
43465,32,女,10,9,32.12,1,1.49,1,270.72,低
43466,33,女,18,5,45.69,0,1.4,0,0,未购买
43467,34,男,15,6,56,1,,0,0,未购买
43468,41,男,30,6,49.86,1,2.47,1,312.74,中
43469,26,男,16,1,45.57,1,3.21,0,0,未购买
43470,30,男,12,5,56.82,0,2.84,0,0,未购买
43471,39,男,19,7,71.15,1,2.91,1,491.33,高
43472,24,男,16,6,47.15,1,2.28,0,0,未购买
43473,36,男,21,9,42.04,1,2.53,0,0,未购买
43474,30,男,29,7,62.31,0,2.32,1,415.46,中
43475,40,男,14,7,57.52,1,4.95,1,462.84,高
43476,49,男,12,5,36.04,1,2.07,0,0,未购买
43477,30,男,24,5,35.43,0,1.17,0,0,未购买
43478,43,男,18,7,18.11,0,2.04,0,0,未购买
43479,37,女,19,5,46.93,0,3.14,0,0,未购买
43480,31,女,15,4,39.44,0,3.46,0,0,未购买
43481,35,男,14,6,75.81,0,1.09,1,469.37,高
43482,48,男,21,5,47.38,0,1.06,0,0,未购买
43483,33,男,19,6,41.61,1,3.69,0,0,未购买
43484,48,男,13,8,38.22,1,3.94,1,331.05,中
43485,34,男,24,3,74.44,1,2.91,0,0,未购买
43486,21,女,17,10,67.38,0,3.85,0,0,未购买
43487,34,男,20,14,48.24,0,2.91,1,677.91,高
43488,20,女,20,7,22.03,1,1.92,1,152.8,低
43489,32,男,27,13,38.93,1,2.43,1,502.61,高
43490,31,女,15,6,56.63,0,1.63,0,0,未购买
43491,53,男,18,2,83.63,1,0.94,0,0,未购买
43492,51,女,18,7,90.09,0,2.33,0,0,未购买
43493,36,男,14,4,65.29,0,3.1,0,0,未购买
43494,47,女,20,2,45,0,2.16,0,0,未购买
43495,31,女,23,8,47.21,0,4.97,1,356.41,中
43496,21,男,27,8,98.13,0,1.19,0,0,未购买
43497,40,女,10,11,74.24,0,3.02,1,739.58,高
43498,39,男,20,8,71.36,1,,1,668.89,高
43499,26,男,22,3,61.8,0,0.51,0,0,未购买
43500,26,女,15,11,65.06,0,2.64,0,0,未购买
43501,44,女,29,1,55.11,1,2.35,0,0,未购买
43502,18,男,21,8,23.17,1,4.28,0,0,未购买
43503,41,男,24,5,63.26,1,2.58,0,0,未购买
43504,,男,21,3,51.6,0,2.3,1,146.52,低
43505,41,女,20,7,53.88,1,5.56,0,0,未购买
43506,45,女,19,13,30.55,0,2.31,1,362.08,中
43507,26,女,18,6,61.89,1,2.63,1,410.72,中
43508,24,男,14,3,72.28,0,4.78,0,0,未购买
43509,50,男,14,8,53.98,0,2.55,0,0,未购买
43510,34,女,11,10,63.1,0,0.96,0,0,未购买
43511,38,女,17,5,46.49,0,3.21,0,0,未购买
43512,44,男,15,5,57.69,0,4.4,1,343.92,中
43513,25,女,14,5,46.37,1,2.99,1,226.74,低
43514,44,女,14,12,63.98,0,5.71,1,795.33,高
43515,41,女,13,9,22.04,0,2.43,0,0,未购买
43516,50,女,23,7,30.9,1,1,0,0,未购买
43517,50,男,25,8,29.81,0,2.1,0,0,未购买
43518,36,男,12,6,61.15,1,1.19,0,0,未购买
43519,43,男,17,10,25.13,1,5.86,0,0,未购买
43520,35,男,18,5,67.23,1,3.9,0,0,未购买
43521,36,男,13,5,60.45,0,2.79,1,253.74,低
43522,24,男,11,8,67.55,1,1.3,0,0,未购买
43523,33,男,24,10,59.72,0,3.35,1,624.74,高
43524,18,女,13,5,60.37,1,2.24,1,376.6,中
43525,34,男,20,7,23.95,1,2.69,1,174.25,低
43526,48,女,21,3,39.41,0,3.15,0,0,未购买
43527,43,男,14,5,35.47,0,1.6,1,185.7,低
43528,36,女,21,5,35.73,0,3.3,0,0,未购买
43529,33,女,17,3,45.5,0,4.57,0,0,未购买
43530,30,女,19,9,47.42,0,3.05,0,0,未购买
43531,26,男,15,11,36.13,0,6.86,0,0,未购买
43532,43,男,14,5,40.53,1,2.65,0,0,未购买
43533,20,男,22,8,47.09,0,5.59,0,0,未购买
43534,19,女,13,8,44.48,1,3.28,0,0,未购买
43535,44,男,14,10,52.26,0,0.73,1,588.84,高
43536,37,女,16,4,21.53,0,1.79,0,0,未购买
43537,35,女,19,6,39.93,0,2.35,1,262.36,低
43538,37,女,22,4,44.1,0,1.94,0,0,未购买
43539,55,女,22,7,61.71,0,3.04,0,0,未购买
43540,36,男,14,9,47.51,1,2.65,0,0,未购买
43541,38,男,14,5,15.12,0,1.76,1,83.7,低
43542,56,女,23,2,37.24,0,1.78,0,0,未购买
43543,34,男,22,5,15,0,3.54,0,0,未购买
43544,52,男,19,8,45.49,0,7.51,0,0,未购买
43545,18,男,17,4,55.09,1,4.33,0,0,未购买
43546,,男,21,6,55.83,1,3.75,0,0,未购买
43547,28,男,17,7,30.23,1,1.41,1,206.68,低
43548,41,女,15,3,50.29,0,1.71,0,0,未购买
43549,53,女,19,2,54.54,0,2.51,0,0,未购买
43550,29,男,16,10,37.4,0,3.74,1,372.8,中
43551,45,女,16,6,19.3,1,1.67,1,115.02,低
43552,57,女,12,3,52.44,1,2.54,1,165.66,低
43553,51,男,27,10,85.22,0,1.64,0,0,未购买
43554,31,男,16,8,55.47,,3.14,0,0,未购买
43555,44,男,18,6,63.85,0,4.33,0,0,未购买
43556,38,女,22,6,61.52,1,3.26,0,0,未购买
43557,28,女,13,8,53,0,2.24,0,0,未购买
43558,39,女,11,11,33.53,0,2.74,0,0,未购买
43559,30,女,9,9,19.46,1,2.49,0,0,未购买
43560,36,男,17,12,60.37,1,3.35,0,0,未购买
43561,21,男,12,2,55.66,1,1.13,0,0,未购买
43562,18,男,19,8,44.62,1,2.17,0,0,未购买
43563,32,男,16,4,35.29,1,2.35,0,0,未购买
43564,38,男,22,5,32.6,1,4.26,1,174.47,低
43565,24,男,20,10,55.64,1,1.79,0,0,未购买
43566,40,女,12,5,35.83,0,2.81,0,0,未购买
43567,35,女,17,7,41.35,0,1.18,0,0,未购买
43568,42,女,14,6,35.81,0,2.44,1,195.2,低
43569,44,男,15,11,46.49,0,2.01,1,546.23,高
43570,48,男,22,13,77.06,0,2.1,1,1212.08,高
43571,41,女,22,7,47.04,1,2.52,0,0,未购买
43572,32,女,10,9,26.38,0,4.28,1,240.69,低
43573,37,男,19,7,64.74,1,3.44,1,444.43,高
43574,58,男,27,3,48.79,0,1.92,0,0,未购买
43575,45,男,16,6,40.94,0,1.45,0,0,未购买
43576,36,男,12,7,34.62,0,5.82,0,0,未购买
43577,33,女,16,10,55.44,,1.86,0,0,未购买
43578,29,女,21,10,45.1,0,1.31,0,0,未购买
43579,23,女,21,2,65.34,0,4.01,0,0,未购买
43580,52,女,20,4,60.34,1,2.1,0,0,未购买
43581,40,男,16,8,42.73,0,1.8,0,0,未购买
43582,22,男,19,9,33.53,1,2.32,0,0,未购买
43583,34,男,16,5,58.48,1,3.3,1,313.7,中
43584,48,男,14,7,52.17,1,2.91,1,323.97,中
43585,31,女,16,3,43.65,0,2.33,0,0,未购买
43586,27,女,29,8,42.88,0,2.62,0,0,未购买
43587,39,男,16,4,53.52,0,3.24,0,0,未购买
43588,42,女,13,5,56.9,0,1.89,0,0,未购买
43589,31,女,20,7,48.1,1,6.1,0,0,未购买
43590,29,女,21,9,49.87,1,1.68,1,415.18,中
43591,40,男,25,8,51.2,1,2.41,0,0,未购买
43592,24,男,16,7,44.58,0,2.71,0,0,未购买
43593,30,男,17,8,45.57,1,2.46,1,387.04,中
43594,34,男,13,4,62.08,0,1.56,0,0,未购买
43595,42,女,13,7,34.37,1,1.38,1,246.66,低
43596,31,女,21,6,52.42,0,1.6,0,0,未购买
43597,41,女,21,6,36.27,0,3.47,0,0,未购买
43598,47,男,18,8,67.7,0,5.52,0,0,未购买
43599,30,女,18,11,24.5,0,3.54,0,0,未购买
43600,65,女,15,3,34.5,1,2.29,0,0,未购买
43601,49,女,20,7,60.37,0,4.38,0,0,未购买
43602,38,男,32,7,48.08,0,1.86,0,0,未购买
43603,33,男,22,10,39.93,1,2.94,0,0,未购买
43604,29,女,18,4,45.3,1,3.72,0,0,未购买
43605,52,女,22,6,43.61,1,2.34,1,265.62,低
43606,37,女,18,10,61.57,0,2.05,1,602.96,高
43607,21,男,23,4,40.57,0,3.5,0,0,未购买
43608,18,女,14,7,27.43,0,3.48,0,0,未购买
43609,36,男,20,3,47.53,0,4.6,1,122.86,低
